time,UnbiasedBD,Steered,Coupled,TAMD,Hot
1220.00000,-5.67247,-4.67932,-3.74185,-6.78940,2735.41553
1230.00000,-5.27458,-4.94761,-4.54399,-7.07234,2762.71758
1240.00000,-4.89626,-4.25074,-4.92498,-6.63577,2779.62844
1250.00000,-5.14226,-4.39468,-5.41052,-6.20453,2791.71639
1260.00000,-4.76255,-4.73041,-5.04018,-6.45735,2812.09733
1270.00000,-4.46279,-4.81289,-4.99155,-6.57520,2833.59996
1280.00000,-5.11638,-4.76683,-3.64687,-7.07469,2851.38328
1290.00000,-4.45562,-4.32310,-5.18137,-6.00558,2866.68489
1300.00000,-5.87756,-3.82749,-5.17650,-7.05982,2884.57541
1310.00000,-5.13923,-4.50946,-4.46816,-7.08243,2910.40121
1320.00000,-4.22623,-3.98793,-4.50306,-6.46709,2924.89018
1330.00000,-5.02661,-4.92442,-4.29833,-6.85366,2943.72692
1340.00000,-4.69569,-5.11449,-4.83750,-6.61544,2965.55469
1350.00000,-4.95268,-4.48505,-4.54031,-7.12386,2990.94193
1360.00000,-5.36175,-4.41368,-3.34940,-7.44249,3021.99611
1370.00000,-5.01872,-4.66403,-3.95582,-7.95746,3064.20079
1380.00000,-4.54065,-4.07424,-4.01925,-7.21275,3105.00159
1390.00000,-5.30327,-4.63216,-3.40993,-7.08436,3137.61971
1400.00000,-6.22246,-5.18556,-4.84515,-7.10830,3169.23877
1410.00000,-4.76295,-4.98880,-4.65367,-6.30182,3186.68868
1420.00000,-5.22964,-4.94586,-4.26209,-5.95493,3196.85991
1430.00000,-4.84468,-5.40497,-4.69911,-5.51783,3203.08901
1440.00000,-4.85604,-4.34679,-4.37974,-5.69006,3210.54921
1450.00000,-4.88628,-4.36109,-4.11231,-4.84887,3212.66448
1460.00000,-4.72635,-4.82603,-5.47152,-5.29649,3210.05730
1470.00000,-5.06675,-4.90969,-4.65593,-4.93597,3215.53012
1480.00000,-4.80052,-5.23175,-2.94714,-5.91054,3218.89976
1490.00000,-4.33290,-4.59222,-5.10954,-5.60872,3219.89283
1500.00000,-4.76576,-5.24321,-4.54154,-6.06353,3222.56678
1510.00000,-3.75292,-5.19038,-4.17925,-5.60391,3227.05338
1520.00000,-5.20539,-4.59941,-4.03811,-5.25125,3227.43317
1530.00000,-5.21683,-4.51847,-4.91514,-5.48404,3232.00112
1540.00000,-4.23956,-5.23753,-4.22199,-5.75093,3237.32253
1550.00000,-4.55013,-4.61706,-5.27999,-6.06691,3250.71835
1560.00000,-5.00852,-4.74544,-3.76319,-5.89074,3257.39048
1570.00000,-5.16405,-5.15347,-3.78725,-5.82313,3263.52648
1580.00000,-4.97821,-4.98345,-3.82752,-5.24825,3265.23064
1590.00000,-5.60643,-4.62605,-4.69133,-5.12563,3263.04330
1600.00000,-5.64317,-4.69500,-4.92373,-5.33498,3261.84965
1610.00000,-5.35035,-3.99981,-4.81333,-5.01194,3263.43001
1620.00000,-4.73555,-4.21542,-5.07998,-4.65989,3256.20600
1630.00000,-4.69757,-5.77365,-4.38728,-4.21893,3250.66077
1640.00000,-4.29700,-4.13585,-5.50662,-5.11841,3245.02721
1650.00000,-5.17167,-4.30622,-3.71733,-5.20111,3242.38445
1660.00000,-5.51811,-4.84462,-4.55798,-5.01046,3243.83891
1670.00000,-4.86005,-4.53806,-5.03143,-4.94499,3246.05269
1680.00000,-5.21202,-4.56130,-3.84703,-5.67041,3250.65664
1690.00000,-5.15852,-4.20988,-4.79827,-4.74399,3251.80586
1700.00000,-5.11057,-4.25419,-4.23383,-3.59358,3245.02689
1710.00000,-5.75939,-5.03752,-4.12758,-4.39294,3236.02049
1720.00000,-4.85447,-4.65083,-4.38594,-5.11203,3228.86591
1730.00000,-4.89316,-4.81074,-4.12744,-5.38616,3231.41647
1740.00000,-5.16601,-4.00299,-5.34095,-5.15274,3232.85252
1750.00000,-4.68308,-4.40302,-5.16597,-5.69553,3231.35525
1760.00000,-5.02272,-5.26504,-4.48480,-6.13432,3240.08476
1770.00000,-4.75412,-4.92319,-4.60326,-6.02194,3250.60955
1780.00000,-5.39159,-4.43689,-4.50320,-5.33523,3258.38374
1790.00000,-6.25079,-5.21737,-4.33222,-6.06401,3267.74260
1800.00000,-5.30846,-4.63582,-3.34116,-4.99019,3279.30991
1810.00000,-4.89959,-5.08878,-4.93676,-4.65361,3275.48398
1820.00000,-4.40030,-4.66106,-4.20743,-6.01968,3282.80026
1830.00000,-5.22828,-4.99692,-4.19469,-6.45649,3298.23796
1840.00000,-4.43527,-4.68479,-4.35485,-6.59485,3314.77034
1850.00000,-4.73747,-4.55025,-4.34580,-6.16930,3323.88994
1860.00000,-5.31164,-4.68809,-3.90173,-5.24181,3329.89805
1870.00000,-4.56337,-4.70296,-5.14422,-4.44420,3333.11412
1880.00000,-4.19065,-5.23278,-4.38604,-4.11954,3329.32673
1890.00000,-5.44814,-4.02735,-4.43698,-2.37087,3317.68177
1900.00000,-5.51494,-4.48431,-4.11342,-2.00313,3311.10320
1910.00000,-5.38380,-4.74182,-3.88660,-1.98732,3302.50645
1920.00000,-5.12914,-4.49875,-4.66301,-1.61144,3296.51893
1930.00000,-5.43637,-4.97588,-4.81495,-0.87934,3287.63961
1940.00000,-5.48506,-4.78833,-3.45420,-1.23091,3289.72136
1950.00000,-5.22106,-4.55387,-4.37559,1.26027,3290.70533
1960.00000,-5.49581,-4.73937,-4.14459,-1.56075,3287.14837
1970.00000,-5.78853,-4.81641,-4.94083,-2.39641,3282.57787
1980.00000,-5.62777,-5.18879,-5.51225,-3.77512,3272.32901
1990.00000,-5.91872,-4.55674,-4.78628,-3.60175,3266.58948
2000.00000,-4.47332,-4.96301,-4.23976,-3.22727,3257.36856
2010.00000,-4.81773,-4.00011,-3.51952,-2.96937,3250.07843
2020.00000,-4.64721,-4.68892,-4.01168,-3.09301,3241.58041
2030.00000,-5.08507,-4.38078,-5.03867,-4.79497,3237.74858
2040.00000,-4.69976,-4.30263,-3.25736,-4.85239,3238.34856
2050.00000,-5.32365,-5.05935,-4.33313,-6.09991,3239.05456
2060.00000,-5.42683,-4.15647,-3.67302,-5.67199,3242.62112
2070.00000,-5.23331,-4.81423,-4.10190,-5.68820,3248.58922
2080.00000,-5.57090,-4.86191,-4.21793,-5.84354,3256.15559
2090.00000,-5.34783,-4.57918,-5.18187,-5.98612,3265.65644
2100.00000,-3.83077,-4.97827,-5.08837,-5.12947,3268.83115
2110.00000,-4.94111,-4.49799,-2.97624,-5.05355,3268.52007
2120.00000,-4.93073,-4.64954,-4.62933,-6.10900,3275.36609
2130.00000,-4.76375,-4.96937,-4.14513,-6.63233,3294.31559
2140.00000,-3.96727,-5.03724,-4.52308,-6.17577,3310.59389
2150.00000,-5.62481,-4.31945,-2.75041,-5.79109,3318.07761
2160.00000,-4.83478,-4.25011,-3.41524,-6.22648,3326.74286
2170.00000,-5.57662,-4.18253,-5.56731,-4.54300,3328.30642
2180.00000,-5.04125,-4.18349,-3.79868,-5.13198,3324.36280
2190.00000,-5.77616,-4.33397,-4.26403,-6.06079,3329.69726
2200.00000,-4.49521,-4.24390,-4.85717,-6.19006,3339.43513
2210.00000,-5.31875,-4.06463,-3.86862,-5.02334,3346.65073
2220.00000,-5.25456,-5.04584,-4.65237,-4.87964,3351.33567
2230.00000,-5.36356,-4.12813,-4.18828,-5.05875,3352.67237
2240.00000,-4.62227,-5.05804,-4.79337,-5.65040,3355.53783
2250.00000,-4.64062,-4.29233,-4.07545,-5.76424,3363.84148
2260.00000,-4.46356,-5.23908,-4.13471,-6.54820,3376.10936
2270.00000,-5.15979,-4.49532,-4.85650,-6.20115,3391.47161
2280.00000,-5.41365,-5.61454,-5.14222,-5.22351,3399.40598
2290.00000,-5.18378,-5.20260,-4.60092,-6.68516,3414.47602
2300.00000,-5.27016,-4.71747,-5.34171,-6.23789,3431.30876
