time,unbiased,steered,coupled,TAMD
14.40000,-5.56588,-4.87131,-5.35987,-5.46078
14.50000,-5.46792,-4.62853,-5.76004,-5.71524
14.60000,-4.99997,-4.66334,-5.72784,-5.53465
14.70000,-5.07410,-4.88953,-5.53887,-5.65319
14.80000,-5.22185,-4.40407,-5.36486,-5.19115
14.90000,-5.31872,-4.52686,-5.30059,-5.63382
15.00000,-5.31239,-4.41806,-5.20010,-5.61809
15.10000,-5.25462,-4.42455,-5.00362,-5.25655
15.20000,-5.39482,-4.57066,-5.15830,-5.08072
15.30000,-5.31202,-4.58543,-5.21119,-5.11209
15.40000,-5.18702,-4.33259,-5.48815,-5.25755
15.50000,-5.18657,-4.48736,-5.68689,-5.41429
15.60000,-5.03667,-4.29330,-5.70662,-5.15767
15.70000,-5.07785,-4.31831,-5.45069,-4.86696
15.80000,-5.38536,-4.39592,-5.00450,-4.72935
15.90000,-5.16784,-4.55016,-4.98975,-4.64441
16.00000,-4.96648,-4.80432,-4.63490,-4.76877
16.10000,-4.94104,-4.96066,-4.54628,-4.72106
16.20000,-5.07884,-4.73252,-4.25209,-4.49576
16.30000,-5.17802,-4.74009,-4.55879,-4.71011
16.40000,-5.11029,-4.54526,-4.72403,-4.42211
16.50000,-5.02886,-4.77688,-4.39169,-4.50513
16.60000,-5.09031,-4.92811,-4.21706,-4.47840
16.70000,-4.95025,-4.99770,-4.31888,-4.50391
16.80000,-4.86688,-4.87254,-4.28189,-4.76882
16.90000,-4.86125,-4.79699,-4.31932,-4.60636
17.00000,-4.90698,-5.03309,-4.69035,-4.54981
17.10000,-4.97285,-5.09377,-4.65434,-4.29095
17.20000,-5.08901,-4.94806,-4.75008,-4.61254
17.30000,-5.04535,-5.13449,-4.70653,-4.76531
17.40000,-5.07541,-5.08887,-4.52607,-5.17694
17.50000,-5.31221,-5.16528,-4.67329,-5.18458
17.60000,-5.16870,-5.34295,-4.80322,-5.19537
17.70000,-4.99686,-5.16125,-4.71658,-5.34161
